mod,protein1,protein2,interaction,interaction_pair
QVIVDUBOAOMURT-MNPDLOSFSA-N,Q16665,Q09472,1,HIF-1a_p300
WAOUXZZNLNSGRH-UHFFFAOYSA-N,A8MRB1,H2EHT1,0,S100B_p53
HQRUSYULBHQARY-AEFFLSMTSA-N,P20701,A0A1C9J7T1,1,LFA_ICAM
BVWHOZYQECWMFG-UHFFFAOYSA-N,P55209,Q9UNS8,1,NRP_VEGF
ODLWJDMOWAOUTP-UHFFFAOYSA-N,O14786,P15692,0,Neuropilin-1_VEGF-A
GOYKPTVODBAOPR-UHFFFAOYSA-N,P27540,B3KW07,1,Aryl hydrocarbon receptor nuclear translocator_Endothelial PAS domain-containing protein 1
GYQWKTIZRYVFEM-UHFFFAOYSA-N,P62166,E9PMP0,1,NCS-1_Ric8a
YONWOVYXYCIVNL-UHFFFAOYSA-N,F5GYA9,Q5NUL3,1,CD4_gp120
SDZSAHMPZYUGFD-UHFFFAOYSA-N,P07355,P60903,0,Annexin A2_S100-A10
BVWHOZYQECWMFG-UHFFFAOYSA-N,Q96CV9,Q6WZM0,1,NRP_VEGF
MQUQNUAYKLCRME-INIZCTEOSA-N,A0A0S2Z5D6,Q00G26,1,1-acylglycerol-3-phosphate O-acyltransferase ABHD5_Perilipin-5
JJYVEZRGSFAAOF-UHFFFAOYSA-N,I4AY87,AF-E7EQJ3-F1-model_v4,1,MIF_CD74 (Macrophage migration inhibitory factor and HLA-DR antigens-associated invariant chain)
ZFFCSBWPPVKQSW-UHFFFAOYSA-N,M4PPE6,Q14397,1,Glucokinase_Glucokinase regulatory protein
SAVTWYBICKMDSC-MRVPVSSYSA-N,Q6WZM0,P17948,1,VEGF_VEGFR
UXGUZFZBZPPZGL-UHFFFAOYSA-N,F5H6V7,P01374,1,TNFR1A_TNFB
VZTUIEROBZXUFA-UHFFFAOYSA-N,P63000,A0A1B0GW57,0,RAC1_TIAM1
YFMNNQNVKODXCQ-PMACEKPBSA-N,P20701,E7ESS4,1,LFA_ICAM
OWHJVXHDOFJZEK-UHFFFAOYSA-N,M4PS83,Q14397,1,Glucokinase_Glucokinase regulatory protein
OSVMHGVEHSJBPE-UHFFFAOYSA-N,Q0VDC5,Q5W0X3,0,FKBP1A_FK506
JVRFSWXFNVLIFF-UHFFFAOYSA-N,A0A804HJ06,C9K0N6,1,HRAS_SOS1
CXKWCBBOMKCUKX-UHFFFAOYSA-M,Q5VV67,Q15788,1,Peroxisome proliferator-activated receptor gamma_Nuclear receptor coactivator 1
VCCBEIPGXKNHFW-UHFFFAOYSA-N,A0A3G1LBH1,Q8NIA3,0,KRAS_SOS1
AOQNJFJGVODSPQ-UHFFFAOYSA-N,D0VY79,Q09472,0,HIF-1a_p300
UXGUZFZBZPPZGL-UHFFFAOYSA-N,P19438,P01374,1,TNFR1A_TNFB
UNERZHAOJDVDOW-RLAPCTFFSA-N,A4D2P2,Q13009,1,RAC1_TIAM1
UXGUZFZBZPPZGL-UHFFFAOYSA-N,P19438,P01374,1,TNFR1A_TNFB
BBVKWFPUAZBKNG-SFTDATJTSA-N,K7PPA8,O15151,0,p53_MDMX
CXKWCBBOMKCUKX-UHFFFAOYSA-M,Q86YN6,Q15788,1,Peroxisome proliferator-activated receptor gamma_Nuclear receptor coactivator 1
CXKWCBBOMKCUKX-UHFFFAOYSA-M,Q5VV67,B5MCN7,1,Peroxisome proliferator-activated receptor gamma_Nuclear receptor coactivator 1
DHDVVMIYKAPBOC-UHFFFAOYSA-N,H9KVB1,Q13951,1,Runt-related transcription factor 1_Core-binding factor subunit beta
IOUZAKOZNDIRHM-IAGOWNOFSA-N,P78545,Q9ULK4,0,ELF3_MED23
CXKWCBBOMKCUKX-UHFFFAOYSA-M,E9PFV2,B5MCN7,1,Peroxisome proliferator-activated receptor gamma_Nuclear receptor coactivator 1
FNKBEGHNLRZRKZ-UHFFFAOYSA-N,E9PNT5,A0A248X3X9,1,Rad51_BRCA2
ALVVXSSFOOYRDP-UHFFFAOYSA-N,P62166,Q9NPQ8,0,NCS-1_Ric8a
HYIMSNHJOBLJNT-UHFFFAOYSA-N,H0YM16,Q8WTS1,1,Perilipin-1_ABHD5
IISBACLAFKSPIT-UHFFFAOYSA-N,G3V4K2,Q8NIA3,0,KRAS_SOS1
YBJHBAHKTGYVGT-ZKWXMUAHSA-N,A0A0S2Z4T3,Q05655,1,Ras and Rab interactor 1_Tyrosine-protein kinase ABL1
YDVVBBHUXDNIKT-UHFFFAOYSA-N,I4AY87,AF-E7EQJ3-F1-model_v4,1,MIF_CD74 (Macrophage migration inhibitory factor and HLA-DR antigens-associated invariant chain)
IDOAXXIIOYRVNH-UHFFFAOYSA-N,A8MYV6,Q09472,1,HIF-1a_p300
JZGAPYVXPKOQIL-UHFFFAOYSA-N,G3V5T7,Q07889,1,KRAS_SOS1
VAPPDBCEXXEYLV-UHFFFAOYSA-N,Q1JUQ5,Q5W0X3,0,FKBP1A_FK506
VMFKEYREHLMLJA-UHFFFAOYSA-N,I4AY87,AF-P04233-F1-model_v4,0,MIF_CD74 (Macrophage migration inhibitory factor and HLA-DR antigens-associated invariant chain)
MBISWCGGLARJBA-UHFFFAOYSA-N,O75475,AF-A0A0M3KKW8-F1-model_v4,1,LEDGF_IN
DDPLPWIJXPSARG-UHFFFAOYSA-N,Q9HBZ2,B3KW07,1,Aryl hydrocarbon receptor nuclear translocator_Endothelial PAS domain-containing protein 1
ZHTUOGRDXANVEO-UHFFFAOYSA-N,B3KUF4,A1ECB6,1,GATA4_NKX2-5
DYEFUKCXAQOFHX-UHFFFAOYSA-N,A0A0S2Z5D6,K7EIX1,1,1-acylglycerol-3-phosphate O-acyltransferase ABHD5_Perilipin-5
AWWJRXUFVJUAMA-JDLLUZBXSA-N,P04637,I6SST9,1,P53_HDM2
LNLGZDQNKQAKRB-UHFFFAOYSA-N,P62942,P62942,0,FKBP1A_FK506
RIBYLXUNNWIWJK-AOMKIAJQSA-N,AF-P56273-F1-model_v4,P04637,1,XDM2_P53
GYQWKTIZRYVFEM-UHFFFAOYSA-N,P62166,E9PLE5,1,NCS-1_Ric8a
GEVABPTUVMJNDH-SVBPBHIXSA-N,P20701,P05362,1,LFA_ICAM
XAQNLJBEKWJOTM-FMIVXFBMSA-N,K7EJD8,Q16236,1,KEAP1_NRF2
AAQPOUCMFUHFNK-TXFQPVFDSA-N,Q0VDC5,Q5W0X3,0,FKBP1A_FK506
PMZDQRJGMBOQBF-UHFFFAOYSA-N,L8EAN3,Q96LD9,1,BAZ2B_H4
ITRAVPDTLUMIPL-UHFFFAOYSA-N,P07355,P60903,1,Annexin A2_S100-A10
ARXMSIYPWNHGHD-UHFFFAOYSA-N,A0A4Y5UGE4,Q5NUL3,1,CD4_gp120
CXKWCBBOMKCUKX-UHFFFAOYSA-M,Q9UBK2,B4DYT5,1,Peroxisome proliferator-activated receptor gamma_Nuclear receptor coactivator 3
QFUCSEIKNTUPPA-GOSISDBHSA-N,D0VY79,Q09472,1,HIF-1a_p300
BESZANVZRKJWLW-UHFFFAOYSA-N,F5H480,Q5NUL3,1,CD4_gp120
DKZGXLFQZIHVSR-ZZXKWVIFSA-N,B7Z5M1,H3BUB4,0,Importin subunit beta-1_Snurportin-1
ZORZDWGIDVIMAU-UHFFFAOYSA-N,O14786,P15692,0,Neuropilin-1_VEGF-A
RIBYLXUNNWIWJK-AOMKIAJQSA-N,AF-P56273-F1-model_v4,P04637,1,XDM2_P53
RVAGAHLIJPXBEV-UHFFFAOYSA-N,AF-A0A024R8I1-F1-model_v4,A0A0G2JMD7,1,Voltage-gated N-type calcium channel alpha-1B subunit_Amyloid beta A4 precursor protein-binding family A member 1
OBXNRTWLQUOURS-BQYQJAHWSA-N,O14980,Q9UBZ9,0,CRM1_Rev
PSUIIKIEUATWCZ-UHFFFAOYSA-N,O14980,Q9UBZ9,0,CRM1_Rev
UIHJJMSWZNYBQU-OYHNWAKOSA-N,M0R0H4,Q8NB78,1,Bromodomain_Histone
DZWDWMPZRDOZSQ-NQSCKRDGSA-N,P04637,I6SST5,1,P53_HDM2
HAJLUVJLYDPZOH-UHFFFAOYSA-N,A8MRB1,P04637,1,S100B_p53
